Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,6,149,6,Some Random Commen with Id 0
1,1,8,93,9,Some Random Commen with Id 1
2,1,8,94,5,Some Random Commen with Id 2
3,1,8,90,2,Some Random Commen with Id 3
4,1,8,146,7,Some Random Commen with Id 4
5,3,8,56,2,Some Random Commen with Id 5
6,3,8,31,7,Some Random Commen with Id 6
7,3,8,164,1,Some Random Commen with Id 7
8,3,8,155,5,Some Random Commen with Id 8
9,3,8,154,4,Some Random Commen with Id 9
10,3,8,49,0,Some Random Commen with Id 10
11,3,8,171,4,Some Random Commen with Id 11
12,4,1,197,1,Some Random Commen with Id 12
13,5,8,111,0,Some Random Commen with Id 13
14,5,8,8,0,Some Random Commen with Id 14
15,5,8,136,9,Some Random Commen with Id 15
16,5,8,146,0,Some Random Commen with Id 16
17,7,8,68,5,Some Random Commen with Id 17
18,7,8,77,9,Some Random Commen with Id 18
19,7,8,174,0,Some Random Commen with Id 19
20,7,8,91,6,Some Random Commen with Id 20
21,7,8,189,5,Some Random Commen with Id 21
22,7,8,40,7,Some Random Commen with Id 22
23,7,8,22,1,Some Random Commen with Id 23
24,8,8,175,6,Some Random Commen with Id 24
25,8,8,183,6,Some Random Commen with Id 25
26,8,8,185,8,Some Random Commen with Id 26
27,8,8,191,0,Some Random Commen with Id 27
28,9,0,15,5,Some Random Commen with Id 28
29,9,0,119,5,Some Random Commen with Id 29
30,9,0,76,0,Some Random Commen with Id 30
31,9,0,94,6,Some Random Commen with Id 31
32,9,0,81,9,Some Random Commen with Id 32
33,9,0,9,3,Some Random Commen with Id 33
34,10,8,111,2,Some Random Commen with Id 34
35,11,9,44,5,Some Random Commen with Id 35
36,11,9,164,0,Some Random Commen with Id 36
37,11,9,145,3,Some Random Commen with Id 37
38,11,9,199,2,Some Random Commen with Id 38
39,11,9,46,8,Some Random Commen with Id 39
40,11,9,63,7,Some Random Commen with Id 40
41,11,9,44,2,Some Random Commen with Id 41
42,11,9,22,5,Some Random Commen with Id 42
43,11,9,7,1,Some Random Commen with Id 43
44,12,3,49,9,Some Random Commen with Id 44
45,12,3,55,5,Some Random Commen with Id 45
46,12,3,130,4,Some Random Commen with Id 46
47,12,3,91,8,Some Random Commen with Id 47
48,12,3,130,5,Some Random Commen with Id 48
49,12,3,77,3,Some Random Commen with Id 49
50,13,9,96,7,Some Random Commen with Id 50
51,13,9,61,4,Some Random Commen with Id 51
52,13,9,148,5,Some Random Commen with Id 52
53,13,9,123,0,Some Random Commen with Id 53
54,13,9,187,7,Some Random Commen with Id 54
55,13,9,18,6,Some Random Commen with Id 55
56,13,9,129,9,Some Random Commen with Id 56
57,13,9,176,7,Some Random Commen with Id 57
58,13,9,28,1,Some Random Commen with Id 58
59,14,2,155,4,Some Random Commen with Id 59
60,14,2,3,4,Some Random Commen with Id 60
61,14,2,195,3,Some Random Commen with Id 61
62,14,2,131,8,Some Random Commen with Id 62
63,14,2,29,0,Some Random Commen with Id 63
64,14,2,71,0,Some Random Commen with Id 64
65,14,2,147,5,Some Random Commen with Id 65
66,14,2,112,3,Some Random Commen with Id 66
67,15,3,11,2,Some Random Commen with Id 67
68,16,2,119,1,Some Random Commen with Id 68
69,16,2,117,7,Some Random Commen with Id 69
70,16,2,166,4,Some Random Commen with Id 70
71,16,2,9,1,Some Random Commen with Id 71
72,16,2,24,2,Some Random Commen with Id 72
73,17,5,162,4,Some Random Commen with Id 73
74,17,5,70,3,Some Random Commen with Id 74
75,17,5,6,0,Some Random Commen with Id 75
76,17,5,47,4,Some Random Commen with Id 76
77,17,5,4,0,Some Random Commen with Id 77
78,17,5,194,8,Some Random Commen with Id 78
79,17,5,14,7,Some Random Commen with Id 79
80,18,6,130,7,Some Random Commen with Id 80
81,18,6,1,4,Some Random Commen with Id 81
82,18,6,8,7,Some Random Commen with Id 82
83,18,6,95,6,Some Random Commen with Id 83
84,18,6,123,2,Some Random Commen with Id 84
85,18,6,195,2,Some Random Commen with Id 85
86,18,6,197,9,Some Random Commen with Id 86
87,18,6,94,2,Some Random Commen with Id 87
88,18,6,98,5,Some Random Commen with Id 88
89,19,3,182,3,Some Random Commen with Id 89
90,19,3,120,3,Some Random Commen with Id 90
91,19,3,163,1,Some Random Commen with Id 91
92,19,3,40,2,Some Random Commen with Id 92
93,19,3,59,1,Some Random Commen with Id 93
94,19,3,90,8,Some Random Commen with Id 94
95,20,0,163,0,Some Random Commen with Id 95
96,20,0,169,0,Some Random Commen with Id 96
97,20,0,137,3,Some Random Commen with Id 97
98,21,9,30,7,Some Random Commen with Id 98
99,21,9,50,6,Some Random Commen with Id 99
100,22,4,112,6,Some Random Commen with Id 100
101,22,4,19,1,Some Random Commen with Id 101
102,22,4,9,1,Some Random Commen with Id 102
103,24,2,34,4,Some Random Commen with Id 103
104,24,2,74,7,Some Random Commen with Id 104
105,25,5,110,8,Some Random Commen with Id 105
106,25,5,154,2,Some Random Commen with Id 106
107,25,5,6,4,Some Random Commen with Id 107
108,25,5,8,4,Some Random Commen with Id 108
109,25,5,31,5,Some Random Commen with Id 109
110,25,5,24,2,Some Random Commen with Id 110
111,25,5,156,1,Some Random Commen with Id 111
112,25,5,160,6,Some Random Commen with Id 112
113,25,5,198,9,Some Random Commen with Id 113
114,26,1,129,3,Some Random Commen with Id 114
115,26,1,88,5,Some Random Commen with Id 115
116,26,1,40,6,Some Random Commen with Id 116
117,26,1,139,4,Some Random Commen with Id 117
118,26,1,33,5,Some Random Commen with Id 118
119,26,1,36,5,Some Random Commen with Id 119
120,26,1,178,4,Some Random Commen with Id 120
121,26,1,112,5,Some Random Commen with Id 121
122,26,1,146,0,Some Random Commen with Id 122
123,27,9,29,5,Some Random Commen with Id 123
124,27,9,170,5,Some Random Commen with Id 124
125,27,9,64,8,Some Random Commen with Id 125
126,27,9,199,0,Some Random Commen with Id 126
127,28,0,129,5,Some Random Commen with Id 127
128,28,0,171,9,Some Random Commen with Id 128
129,28,0,119,7,Some Random Commen with Id 129
130,28,0,54,8,Some Random Commen with Id 130
131,28,0,56,2,Some Random Commen with Id 131
132,28,0,74,7,Some Random Commen with Id 132
133,28,0,141,8,Some Random Commen with Id 133
134,28,0,143,8,Some Random Commen with Id 134
135,28,0,164,3,Some Random Commen with Id 135
136,29,3,166,3,Some Random Commen with Id 136
137,29,3,140,5,Some Random Commen with Id 137
138,29,3,42,2,Some Random Commen with Id 138
139,29,3,87,9,Some Random Commen with Id 139
140,29,3,107,2,Some Random Commen with Id 140
141,29,3,128,5,Some Random Commen with Id 141
142,29,3,116,5,Some Random Commen with Id 142
143,29,3,75,1,Some Random Commen with Id 143
144,29,3,124,3,Some Random Commen with Id 144
145,30,4,133,3,Some Random Commen with Id 145
146,30,4,185,1,Some Random Commen with Id 146
147,30,4,190,1,Some Random Commen with Id 147
148,30,4,86,1,Some Random Commen with Id 148
149,30,4,112,9,Some Random Commen with Id 149
150,32,9,55,8,Some Random Commen with Id 150
151,32,9,28,5,Some Random Commen with Id 151
152,32,9,112,0,Some Random Commen with Id 152
153,32,9,186,4,Some Random Commen with Id 153
154,32,9,50,3,Some Random Commen with Id 154
155,32,9,42,0,Some Random Commen with Id 155
156,32,9,76,1,Some Random Commen with Id 156
157,32,9,53,1,Some Random Commen with Id 157
158,33,3,149,6,Some Random Commen with Id 158
159,33,3,28,8,Some Random Commen with Id 159
160,33,3,139,3,Some Random Commen with Id 160
161,33,3,157,2,Some Random Commen with Id 161
162,33,3,160,0,Some Random Commen with Id 162
163,34,7,17,1,Some Random Commen with Id 163
164,35,2,139,5,Some Random Commen with Id 164
165,35,2,70,4,Some Random Commen with Id 165
166,35,2,102,4,Some Random Commen with Id 166
167,35,2,182,4,Some Random Commen with Id 167
168,35,2,78,8,Some Random Commen with Id 168
169,35,2,187,2,Some Random Commen with Id 169
170,36,9,70,5,Some Random Commen with Id 170
171,36,9,60,5,Some Random Commen with Id 171
172,36,9,29,6,Some Random Commen with Id 172
173,36,9,24,1,Some Random Commen with Id 173
174,36,9,111,9,Some Random Commen with Id 174
175,36,9,25,4,Some Random Commen with Id 175
176,37,4,13,0,Some Random Commen with Id 176
177,37,4,25,0,Some Random Commen with Id 177
178,37,4,132,0,Some Random Commen with Id 178
179,37,4,140,0,Some Random Commen with Id 179
180,38,0,103,3,Some Random Commen with Id 180
181,38,0,29,7,Some Random Commen with Id 181
182,38,0,181,4,Some Random Commen with Id 182
183,38,0,15,6,Some Random Commen with Id 183
184,39,1,127,3,Some Random Commen with Id 184
185,39,1,178,1,Some Random Commen with Id 185
186,39,1,25,8,Some Random Commen with Id 186
187,39,1,96,5,Some Random Commen with Id 187
