Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,1,6,176,6,Some Random Commen with Id 0
1,1,6,67,7,Some Random Commen with Id 1
2,2,9,81,4,Some Random Commen with Id 2
3,2,9,43,8,Some Random Commen with Id 3
4,2,9,73,4,Some Random Commen with Id 4
5,2,9,139,9,Some Random Commen with Id 5
6,2,9,182,5,Some Random Commen with Id 6
7,3,1,12,3,Some Random Commen with Id 7
8,3,1,27,3,Some Random Commen with Id 8
9,4,4,19,2,Some Random Commen with Id 9
10,4,4,173,7,Some Random Commen with Id 10
11,4,4,182,8,Some Random Commen with Id 11
12,4,4,139,0,Some Random Commen with Id 12
13,4,4,141,1,Some Random Commen with Id 13
14,4,4,142,6,Some Random Commen with Id 14
15,4,4,183,3,Some Random Commen with Id 15
16,5,7,77,1,Some Random Commen with Id 16
17,5,7,90,0,Some Random Commen with Id 17
18,5,7,78,2,Some Random Commen with Id 18
19,5,7,88,2,Some Random Commen with Id 19
20,5,7,198,1,Some Random Commen with Id 20
21,5,7,152,5,Some Random Commen with Id 21
22,5,7,145,8,Some Random Commen with Id 22
23,6,1,150,9,Some Random Commen with Id 23
24,6,1,33,2,Some Random Commen with Id 24
25,6,1,78,3,Some Random Commen with Id 25
26,6,1,55,8,Some Random Commen with Id 26
27,6,1,44,4,Some Random Commen with Id 27
28,6,1,37,7,Some Random Commen with Id 28
29,6,1,70,9,Some Random Commen with Id 29
30,6,1,0,8,Some Random Commen with Id 30
31,7,9,34,6,Some Random Commen with Id 31
32,7,9,68,1,Some Random Commen with Id 32
33,7,9,38,2,Some Random Commen with Id 33
34,7,9,139,4,Some Random Commen with Id 34
35,7,9,188,9,Some Random Commen with Id 35
36,8,7,160,8,Some Random Commen with Id 36
37,8,7,149,4,Some Random Commen with Id 37
38,9,1,92,7,Some Random Commen with Id 38
39,9,1,143,6,Some Random Commen with Id 39
40,9,1,32,9,Some Random Commen with Id 40
41,11,1,118,5,Some Random Commen with Id 41
42,11,1,157,2,Some Random Commen with Id 42
43,11,1,108,9,Some Random Commen with Id 43
44,12,4,43,0,Some Random Commen with Id 44
45,12,4,176,4,Some Random Commen with Id 45
